created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-06-15T09:58:17+00:00,43,3.61949,2.78224,2.81007,71567.27344,19772.73633,0.74864,0.01000,0.99000,,,,
2025-06-15T09:59:06+00:00,44,3.63213,2.75464,2.78224,71817.05469,19772.73633,0.74663,0.01002,0.98998,,,,
2025-06-15T09:59:55+00:00,45,3.63466,2.74914,2.75464,71867.16406,19772.73633,0.74623,0.00200,0.99800,,,,
2025-06-15T10:00:47+00:00,46,3.61949,2.78224,2.74914,71567.27344,19772.73633,0.74864,0.01190,0.98810,,,,
2025-06-15T10:01:37+00:00,47,3.63974,2.73818,2.78224,71967.57812,19772.73633,0.74542,0.01609,0.98391,,,,
2025-06-15T10:02:26+00:00,48,3.65248,2.71093,2.73818,72219.51562,19772.73633,0.74341,0.01005,0.98995,,,,
2025-06-15T10:03:16+00:00,49,3.63974,2.73818,2.71093,71967.57812,19772.73633,0.74542,0.00995,0.99005,,,,
2025-06-15T10:04:05+00:00,50,3.63466,2.74914,2.73818,71867.16406,19772.73633,0.74623,0.00399,0.99601,,,,
2025-06-15T10:04:55+00:00,51,3.65504,2.70550,2.74914,72270.07031,19772.73633,0.74300,0.01613,0.98387,,,,
2025-06-15T10:05:44+00:00,52,3.68593,2.64110,2.70551,72881.00000,19772.73633,0.73817,0.02438,0.97562,,,,
2025-06-15T10:06:34+00:00,53,3.66529,2.68390,2.64110,72472.82031,19772.73633,0.74139,0.01595,0.98405,,,,
2025-06-15T10:07:23+00:00,54,3.67817,2.65708,2.68390,72727.52344,19772.73633,0.73938,0.01009,0.98991,,,,
2025-06-15T10:08:12+00:00,55,3.65760,2.70009,2.65709,72320.67187,19772.73633,0.74260,0.01593,0.98407,,,,
2025-06-15T10:09:02+00:00,56,3.69112,2.63049,2.70009,72983.60937,19772.73633,0.73736,0.02646,0.97354,,,,
2025-06-15T10:09:52+00:00,57,3.70676,2.59886,2.63049,73292.77344,19772.73633,0.73494,0.01217,0.98783,,,,
2025-06-15T10:10:42+00:00,58,3.69893,2.61464,2.59886,73137.92969,19772.73633,0.73615,0.00603,0.99397,,,,
2025-06-15T10:11:31+00:00,59,3.70676,2.59886,2.61464,73292.77344,19772.73633,0.73494,0.00607,0.99393,,,,
2025-06-15T10:12:21+00:00,60,3.69112,2.63049,2.59886,72983.60937,19772.73633,0.73736,0.01202,0.98798,,,,
2025-06-15T10:13:10+00:00,61,3.70676,2.59886,2.63049,73292.77344,19772.73633,0.73494,0.01217,0.98783,,,,
2025-06-15T10:14:00+00:00,62,3.69632,2.61991,2.59886,73086.42187,19772.73633,0.73656,0.00804,0.99196,,,,
2025-06-15T10:14:50+00:00,63,3.67559,2.66243,2.61991,72676.47656,19772.73633,0.73978,0.01597,0.98403,,,,
2025-06-15T10:15:39+00:00,64,3.70676,2.59886,2.66243,73292.77344,19772.73633,0.73494,0.02446,0.97554,,,,
2025-06-15T10:16:29+00:00,65,3.71987,2.57273,2.59886,73551.96094,19772.73633,0.73293,0.01015,0.98985,,,,
2025-06-15T10:17:18+00:00,66,3.71199,2.58838,2.57273,73396.27344,19772.73633,0.73414,0.00605,0.99395,,,,
2025-06-15T10:18:07+00:00,67,3.73834,2.53652,2.58838,73917.21094,19772.73633,0.73011,0.02045,0.97955,,,,
2025-06-15T10:18:57+00:00,68,3.83289,2.36152,2.53652,75786.71094,19772.73633,0.71601,0.07410,0.92590,,,,
2025-06-15T10:19:46+00:00,69,3.89143,2.26127,2.36152,76944.18750,19772.73633,0.70755,0.04434,0.95566,,,,
2025-06-15T10:20:36+00:00,70,3.84117,2.34699,2.26127,75950.39062,19772.73633,0.71480,0.03652,0.96348,,,,
2025-06-15T10:21:25+00:00,71,3.81095,2.40064,2.34699,75352.94531,19772.73633,0.71923,0.02235,0.97765,,,,
2025-06-15T10:22:15+00:00,72,2.93717,5.05862,2.40064,58075.85547,19772.73633,0.87637,0.52544,0.47456,,,,
2025-06-15T10:23:04+00:00,73,2.80902,5.74751,5.05862,55542.05859,19772.73633,0.90538,0.11986,0.88014,,,,
2025-06-15T10:23:54+00:00,74,2.79358,5.83891,5.74751,55236.70703,19772.73633,0.90901,0.01565,0.98435,,,,
2025-06-15T10:24:43+00:00,75,2.80558,5.76771,5.83891,55473.98828,19772.73633,0.90619,0.01234,0.98766,,,,
2025-06-15T10:25:33+00:00,76,2.81075,5.73742,5.76771,55576.13672,19772.73633,0.90498,0.00528,0.99472,,,,
2025-06-15T10:26:22+00:00,77,2.79529,5.82869,5.73743,55270.50781,19772.73633,0.90861,0.01566,0.98434,,,,
2025-06-15T10:27:12+00:00,78,2.83678,5.58799,5.82869,56090.98828,19772.73633,0.89894,0.04308,0.95692,,,,
